algorithm,objective,dims,seeds,mean_win,win_std,win_min,win_max
exact_solver,MaxInformation,7x7x7,30,0.0,0.0,0.0,0.0
exact_solver,MinDistance,7x7x7,30,0.0,0.0,0.0,0.0
exact_solver,MinRotation,7x7x7,30,0.0,0.0,0.0,0.0
global_sat,MaxInformation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
global_sat,MinDistance,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
global_sat,MinRotation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
greedy,MaxInformation,7x7x7,30,0.0,0.0,0.0,0.0
greedy,MinDistance,7x7x7,30,0.0,0.0,0.0,0.0
greedy,MinRotation,7x7x7,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
partitioned_sat,MinDistance,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
partitioned_sat,MinRotation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
scip_solver,MaxInformation,7x7x7,30,0.9,0.3051285766293647,0.0,1.0
scip_solver,MinDistance,7x7x7,30,0.8666666666666667,0.3457459036417604,0.0,1.0
scip_solver,MinRotation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
exact_solver,MaxInformation,8x8x8,30,0.0,0.0,0.0,0.0
exact_solver,MinDistance,8x8x8,30,0.0,0.0,0.0,0.0
exact_solver,MinRotation,8x8x8,30,0.0,0.0,0.0,0.0
global_sat,MaxInformation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
global_sat,MinDistance,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
global_sat,MinRotation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
greedy,MaxInformation,8x8x8,30,0.0,0.0,0.0,0.0
greedy,MinDistance,8x8x8,30,0.0,0.0,0.0,0.0
greedy,MinRotation,8x8x8,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
partitioned_sat,MinDistance,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
partitioned_sat,MinRotation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
scip_solver,MaxInformation,8x8x8,30,0.9666666666666667,0.18257418583505536,0.0,1.0
scip_solver,MinDistance,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
scip_solver,MinRotation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
