algorithm,objective,dims,runs,success_ratio,success_pct,avg_clicks,avg_time_ms,avg_guesses,avg_completion,avg_time_per_click_ms,avg_completion_per_click,avg_guess_rate
exact_solver,MaxInformation,2x2x2,30,0.7333333333333333,73.33333333333333,4.3,1.0666666666666667,2.3,96.66666666666667,0.18861111111111112,29.49537037037037,0.5994444444444444
exact_solver,MinDistance,2x2x2,30,0.4666666666666667,46.666666666666664,3.7,0.6666666666666666,1.8,91.16666666666667,0.14333333333333334,30.84722222222222,0.5716666666666667
exact_solver,MinRotation,2x2x2,30,0.36666666666666664,36.666666666666664,3.466666666666667,0.5,1.7666666666666666,86.0,0.10666666666666667,30.930555555555557,0.601111111111111
global_sat,MaxInformation,2x2x2,30,0.6666666666666666,66.66666666666666,4.033333333333333,0.8,1.4333333333333333,93.66666666666667,0.13146825396825396,31.20767195767196,0.4762433862433862
global_sat,MinDistance,2x2x2,30,0.6666666666666666,66.66666666666666,3.8666666666666667,0.7666666666666667,1.4333333333333333,93.66666666666667,0.14615079365079364,31.511904761904763,0.47928571428571426
global_sat,MinRotation,2x2x2,30,0.6666666666666666,66.66666666666666,3.933333333333333,0.8333333333333334,1.4333333333333333,93.66666666666667,0.1688888888888889,31.067460317460316,0.47484126984126984
greedy,MaxInformation,2x2x2,30,0.16666666666666666,16.666666666666664,2.933333333333333,0.0,2.933333333333333,86.66666666666667,0.0,39.34166666666667,1.0
greedy,MinDistance,2x2x2,30,0.16666666666666666,16.666666666666664,2.933333333333333,0.0,2.933333333333333,86.66666666666667,0.0,39.23611111111111,1.0
greedy,MinRotation,2x2x2,30,0.16666666666666666,16.666666666666664,2.933333333333333,0.0,2.933333333333333,86.66666666666667,0.0,39.23611111111111,1.0
partitioned_sat,MaxInformation,2x2x2,30,0.6666666666666666,66.66666666666666,4.033333333333333,1.3666666666666667,1.4333333333333333,93.66666666666667,0.2624867724867725,31.20767195767196,0.4762433862433862
partitioned_sat,MinDistance,2x2x2,30,0.6666666666666666,66.66666666666666,3.9,1.0,1.4333333333333333,93.66666666666667,0.19146825396825395,31.400793650793652,0.47817460317460314
partitioned_sat,MinRotation,2x2x2,30,0.6666666666666666,66.66666666666666,4.033333333333333,1.0333333333333334,1.4333333333333333,93.66666666666667,0.17408730158730157,30.924603174603178,0.4734126984126984
scip_solver,MaxInformation,2x2x2,30,0.9333333333333333,93.33333333333333,4.533333333333333,155.83333333333334,1.4666666666666666,98.66666666666667,29.912566137566138,29.017195767195766,0.3975793650793651
scip_solver,MinDistance,2x2x2,30,0.7333333333333333,73.33333333333333,4.066666666666666,141.13333333333333,1.4333333333333333,94.0,31.447777777777777,29.55357142857143,0.42928571428571427
scip_solver,MinRotation,2x2x2,30,0.7,70.0,4.066666666666666,141.23333333333332,1.4,93.0,30.148055555555555,29.660714285714285,0.4442460317460318
exact_solver,MaxInformation,3x3x3,30,0.5333333333333333,53.333333333333336,9.266666666666667,16.966666666666665,2.033333333333333,96.59366666666666,1.6859213934213932,15.553819311244313,0.2693655881155881
exact_solver,MinDistance,3x3x3,30,0.36666666666666664,36.666666666666664,10.033333333333333,21.166666666666668,2.3333333333333335,89.92699999999999,1.9068776285920248,10.323801266675648,0.3025956246196184
exact_solver,MinRotation,3x3x3,30,0.3,30.0,9.6,18.066666666666666,2.033333333333333,85.18633333333334,1.6274368033926858,9.993978866122983,0.30326276936571056
global_sat,MaxInformation,3x3x3,30,1.0,100.0,12.966666666666667,42.3,1.0333333333333334,100.0,2.978907643410268,8.913915757619487,0.0912224909095282
global_sat,MinDistance,3x3x3,30,1.0,100.0,12.633333333333333,32.7,1.0333333333333334,100.0,2.4108968713032177,9.041050853744354,0.09237129285116902
global_sat,MinRotation,3x3x3,30,1.0,100.0,12.7,28.466666666666665,1.0333333333333334,100.0,2.131446117521969,9.076122607469356,0.09242789274136023
greedy,MaxInformation,3x3x3,30,0.03333333333333333,3.3333333333333335,4.766666666666667,0.26666666666666666,4.766666666666667,82.81400000000001,0.03279220779220779,24.971931806156807,1.0
greedy,MinDistance,3x3x3,30,0.0,0.0,4.866666666666666,0.06666666666666667,4.866666666666666,71.92533333333334,0.010317460317460317,19.991351443001445,1.0
greedy,MinRotation,3x3x3,30,0.0,0.0,4.866666666666666,0.03333333333333333,4.866666666666666,71.99966666666666,0.0023809523809523807,19.915365476190473,1.0
partitioned_sat,MaxInformation,3x3x3,30,1.0,100.0,13.1,41.8,1.0333333333333334,100.0,2.91468019999922,8.867132131888493,0.09075465465221826
partitioned_sat,MinDistance,3x3x3,30,1.0,100.0,12.7,30.266666666666666,1.0333333333333334,100.0,2.2028400546821603,9.04141350851877,0.09263635730740995
partitioned_sat,MinRotation,3x3x3,30,1.0,100.0,12.666666666666666,26.933333333333334,1.0333333333333334,100.0,2.0417508438986767,8.880222646863514,0.09031737798378665
scip_solver,MaxInformation,3x3x3,30,1.0,100.0,11.133333333333333,1088.1333333333334,1.0,100.0,86.32084052414162,14.52657322897261,0.14526573228972608
scip_solver,MinDistance,3x3x3,30,0.9666666666666667,96.66666666666667,12.3,1159.7,1.0333333333333334,97.25933333333334,90.88486585782638,9.063940020133519,0.10582440020133518
scip_solver,MinRotation,3x3x3,30,1.0,100.0,12.666666666666666,1172.9,1.0333333333333334,100.0,90.44807466770702,8.953644938939057,0.09120311605605723
exact_solver,MaxInformation,4x4x4,30,0.13333333333333333,13.333333333333334,21.033333333333335,124.16666666666667,4.633333333333334,89.15566666666668,5.379414891677404,5.450899638964878,0.27582484718987055
