algorithm,objective,dims,losses,avg_completion_on_loss,avg_clicks_on_loss,avg_guesses_on_loss,avg_guess_rate_on_loss,avg_time_ms_on_loss
exact_solver,MinRotation,6x6x6,30,62.22866666666666,28.5,2.9,0.20538541563409232,533.2333333333333
global_sat,MaxInformation,6x6x6,6,41.94833333333333,27.333333333333332,2.8333333333333335,0.3767361111111111,3201.5
global_sat,MinDistance,6x6x6,6,41.94833333333333,28.0,2.8333333333333335,0.37626643853998926,2094.0
global_sat,MinRotation,6x6x6,6,41.94833333333333,26.333333333333332,2.8333333333333335,0.3775151783795401,1932.8333333333333
greedy,MaxInformation,6x6x6,30,48.876,8.633333333333333,8.633333333333333,1.0,6.7
greedy,MinDistance,6x6x6,30,46.535999999999994,9.233333333333333,9.233333333333333,1.0,6.766666666666667
greedy,MinRotation,6x6x6,30,47.434333333333335,9.333333333333334,9.333333333333334,1.0,5.8
partitioned_sat,MaxInformation,6x6x6,6,41.94833333333333,27.5,2.8333333333333335,0.37662954674623467,2793.1666666666665
partitioned_sat,MinDistance,6x6x6,6,41.94833333333333,28.0,2.8333333333333335,0.3762607694592988,1550.5
partitioned_sat,MinRotation,6x6x6,6,41.94833333333333,27.166666666666668,2.8333333333333335,0.3768332362082362,1252.1666666666667
scip_solver,MaxInformation,6x6x6,1,10.11,5.0,4.0,0.8,660.0
scip_solver,MinDistance,6x6x6,5,45.168,25.6,2.6,0.4731468531468531,9408.8
scip_solver,MinRotation,6x6x6,4,54.635,30.0,2.5,0.3346354166666667,10854.0
exact_solver,MaxInformation,7x7x7,30,64.75166666666667,44.666666666666664,5.033333333333333,0.17514535725312516,1888.5666666666666
exact_solver,MinDistance,7x7x7,30,65.89533333333333,42.8,4.333333333333333,0.18740870922924796,1804.8333333333333
exact_solver,MinRotation,7x7x7,30,62.56233333333333,39.53333333333333,2.8333333333333335,0.15392111060946992,1560.1666666666667
global_sat,MaxInformation,7x7x7,3,11.296666666666667,11.0,2.3333333333333335,0.30735930735930733,359.6666666666667
global_sat,MinDistance,7x7x7,3,11.296666666666667,11.0,2.3333333333333335,0.30735930735930733,272.3333333333333
global_sat,MinRotation,7x7x7,3,11.296666666666667,10.666666666666666,2.3333333333333335,0.32323232323232326,228.0
greedy,MaxInformation,7x7x7,30,30.041,7.233333333333333,7.233333333333333,1.0,15.066666666666666
greedy,MinDistance,7x7x7,30,41.10166666666667,9.8,9.8,1.0,14.933333333333334
