dims,seed,avg_success,avg_success_pct,avg_completion,avg_clicks,avg_time_ms
2x2x2,29,0.0,0.0,73.66666666666667,2.7333333333333334,21.666666666666668
2x2x2,19,0.13333333333333333,13.333333333333334,72.66666666666667,3.7333333333333334,32.666666666666664
2x2x2,1,0.13333333333333333,13.333333333333334,81.66666666666667,3.2,43.266666666666666
2x2x2,25,0.13333333333333333,13.333333333333334,82.66666666666667,6.2,66.26666666666667
2x2x2,27,0.13333333333333333,13.333333333333334,90.0,3.8666666666666667,29.2
2x2x2,22,0.13333333333333333,13.333333333333334,90.33333333333333,2.933333333333333,16.933333333333334
2x2x2,24,0.13333333333333333,13.333333333333334,90.33333333333333,2.933333333333333,17.333333333333332
2x2x2,18,0.13333333333333333,13.333333333333334,91.0,2.8666666666666667,19.2
2x2x2,6,0.26666666666666666,26.666666666666668,88.33333333333333,3.4,30.733333333333334
2x2x2,20,0.4,40.0,87.0,4.0,40.13333333333333
2x2x2,28,0.5333333333333333,53.333333333333336,76.66666666666667,3.066666666666667,17.533333333333335
2x2x2,3,0.5333333333333333,53.333333333333336,90.33333333333333,6.333333333333333,46.93333333333333
2x2x2,14,0.6,60.0,92.66666666666667,5.933333333333334,49.93333333333333
2x2x2,11,0.6,60.0,98.0,3.0,12.666666666666666
2x2x2,13,0.6,60.0,98.0,3.0,13.733333333333333
2x2x2,4,0.6666666666666666,66.66666666666666,95.33333333333333,5.4,42.2
2x2x2,16,0.6666666666666666,66.66666666666666,98.33333333333333,1.8,6.0
2x2x2,7,0.7333333333333333,73.33333333333333,93.0,6.2,58.2
2x2x2,23,0.7333333333333333,73.33333333333333,94.66666666666667,6.666666666666667,77.66666666666667
2x2x2,5,0.8,80.0,96.0,4.533333333333333,43.266666666666666
2x2x2,17,0.8,80.0,96.0,5.6,43.06666666666667
2x2x2,2,0.8,80.0,97.0,3.4,22.6
2x2x2,8,0.8,80.0,98.0,3.6,21.4
2x2x2,9,0.8,80.0,98.0,3.6,21.266666666666666
2x2x2,26,0.8,80.0,98.0,3.6,21.6
2x2x2,15,0.8666666666666667,86.66666666666667,98.66666666666667,3.8666666666666667,21.666666666666668
2x2x2,10,0.9333333333333333,93.33333333333333,96.66666666666667,4.0,49.8
2x2x2,0,1.0,100.0,100.0,1.0,0.0
2x2x2,12,1.0,100.0,100.0,1.0,0.0
2x2x2,21,1.0,100.0,100.0,2.0,5.533333333333333
3x3x3,2,0.5333333333333333,53.333333333333336,70.81466666666667,10.266666666666667,244.53333333333333
3x3x3,18,0.6,60.0,91.40733333333333,9.866666666666667,243.93333333333334
3x3x3,1,0.6,60.0,91.556,9.533333333333333,240.4
3x3x3,17,0.6,60.0,92.59200000000001,9.4,196.8
3x3x3,7,0.6,60.0,92.89,9.666666666666666,281.06666666666666
3x3x3,12,0.6,60.0,93.33333333333333,10.333333333333334,205.86666666666667
3x3x3,15,0.6,60.0,95.704,9.866666666666667,172.93333333333334
3x3x3,21,0.6666666666666666,66.66666666666666,78.36933333333333,13.8,353.1333333333333
3x3x3,22,0.6666666666666666,66.66666666666666,82.66733333333333,13.533333333333333,357.8666666666667
3x3x3,23,0.6666666666666666,66.66666666666666,92.148,7.533333333333333,179.13333333333333
3x3x3,13,0.6666666666666666,66.66666666666666,93.48266666666667,14.733333333333333,306.8666666666667
3x3x3,0,0.6666666666666666,66.66666666666666,95.25933333333334,10.0,374.4
3x3x3,10,0.6666666666666666,66.66666666666666,95.704,6.333333333333333,136.4
3x3x3,25,0.6666666666666666,66.66666666666666,96.44466666666668,14.533333333333333,300.53333333333336
3x3x3,6,0.6666666666666666,66.66666666666666,96.59200000000001,8.866666666666667,212.33333333333334
3x3x3,29,0.6666666666666666,66.66666666666666,96.59266666666667,7.066666666666666,129.53333333333333
3x3x3,19,0.6666666666666666,66.66666666666666,96.88866666666667,7.333333333333333,120.66666666666667
3x3x3,4,0.6666666666666666,66.66666666666666,97.778,8.8,178.73333333333332
3x3x3,28,0.7333333333333333,73.33333333333333,91.26,10.066666666666666,243.93333333333334
3x3x3,11,0.7333333333333333,73.33333333333333,92.59200000000001,13.4,413.26666666666665
3x3x3,14,0.7333333333333333,73.33333333333333,92.74133333333333,12.866666666666667,268.3333333333333
3x3x3,16,0.7333333333333333,73.33333333333333,92.88866666666667,14.466666666666667,378.1333333333333
3x3x3,20,0.7333333333333333,73.33333333333333,93.926,13.6,286.0
3x3x3,9,0.7333333333333333,73.33333333333333,96.14933333333333,8.733333333333333,180.33333333333334
3x3x3,8,0.7333333333333333,73.33333333333333,96.74133333333333,10.2,215.53333333333333
3x3x3,5,0.7333333333333333,73.33333333333333,97.03733333333334,6.933333333333334,191.2
3x3x3,3,0.7333333333333333,73.33333333333333,97.18466666666667,10.0,265.2
3x3x3,26,0.7333333333333333,73.33333333333333,98.222,5.0,110.46666666666667
3x3x3,24,0.8,80.0,96.0,12.2,230.93333333333334
3x3x3,27,0.8,80.0,96.444,13.6,341.06666666666666
4x4x4,27,0.06666666666666667,6.666666666666667,95.61,9.466666666666667,431.4
4x4x4,21,0.13333333333333333,13.333333333333334,44.64,16.533333333333335,1044.0666666666666
4x4x4,11,0.4666666666666667,46.666666666666664,56.794,20.533333333333335,556.0
4x4x4,10,0.4666666666666667,46.666666666666664,67.258,19.666666666666668,590.1333333333333
4x4x4,12,0.6,60.0,75.27466666666666,19.266666666666666,1065.6666666666667
4x4x4,16,0.6,60.0,83.374,12.0,449.0
4x4x4,23,0.6,60.0,84.22,24.2,1172.8
